id,species,location,host,sex,color.bin,latRG,latGB
15_0447,Tchumash,BS,C,NA,NA,NA,NA
15_0448,Tchumash,BS,C,NA,NA,NA,NA
15_0449,Tchumash,BS,C,NA,NA,NA,NA
15_0450,Tchumash,BS,C,NA,NA,NA,NA
15_0451,Tchumash,BS,C,NA,NA,NA,NA
15_0452,Tchumash,BS,C,NA,NA,NA,NA
15_0453,Tchumash,BS,C,NA,NA,NA,NA
15_0999,Tchumash,HF6,Q,NA,NA,NA,NA
15_1000,Tchumash,HF6,Q,NA,NA,NA,NA
15_1001,Tchumash,HF6,Q,NA,NA,NA,NA
15_1002,Tchumash,HF6,Q,NA,NA,NA,NA
15_1003,Tchumash,GR8.06,Q,F,1,-0.080555997,0.190760451
15_1004,Tchumash,GR8.06,Q,F,1,-0.023391822,0.181139166
15_1005,Tchumash,GR8.06,Q,M,1,0.03188678,0.266359641
15_1006,Tchumash,GR8.06,Q,M,1,-0.007403624,0.264388556
15_1007,Tchumash,GR8.06,Q,M,1,0.043085316,0.221819019
15_1008,Tchumash,GR8.06,Q,M,1,0.064690933,0.26004478
15_1009,Tchumash,GR8.06,Q,F,1,-0.027989627,0.188075063
15_1010,Tchumash,GR8.06,Q,M,1,-0.005832483,0.189655754
15_1011,Tchumash,GR8.06,Q,F,1,-0.007674024,0.295021325
15_1012,Tchumash,GR8.06,Q,M,1,-0.014181574,0.208510736
15_1013,Tchumash,GR8.06,Q,M,1,0.037708774,0.326945886
15_1014,Tchumash,GR8.06,Q,F,1,-0.014880108,0.182133862
15_1015,Tchumash,GR8.06,Q,M,1,-0.018344453,0.30363915
15_1016,Tchumash,GR8.06,Q,F,1,-0.008651216,0.353082045
15_1017,Tchumash,GR8.06,Q,F,1,-0.00352726,0.348317894
15_1018,Tchumash,GR8.06,Q,F,1,-0.03568294,0.232791415
15_1019,Tchumash,GR8.06,Q,M,1,0.003795512,0.3816246
15_1020,Tchumash,GR8.06,Q,F,1,-0.012352274,0.149554106
15_1021,Tchumash,GR8.06,Q,M,1,0.015974008,0.328748794
15_1022,Tchumash,GR8.06,Q,M,1,0.006413917,0.258454397
15_1023,Tchumash,GR8.06,Q,M,1,0.015822184,0.318613533
15_1024,Tchumash,GR8.06,Q,M,1,-0.050407421,0.184364072
15_1025,Tchumash,GR8.06,Q,F,1,-0.0562644,0.354214319
15_1026,Tchumash,GR8.06,Q,F,1,-0.012114246,0.189672237
15_1027,Tchumash,GR8.06,Q,M,1,-0.012725284,0.348851817
15_1028,Tchumash,GR8.06,Q,M,1,-0.024590033,0.186206688
15_1029,Tchumash,GR8.06,Q,M,1,0.019596766,0.265148351
15_1030,Tchumash,GR8.06,Q,M,1,-0.004898363,0.314645261
15_1031,Tchumash,GR8.06,Q,M,1,0.012874812,0.327813225
15_1032,Tchumash,GR8.06,Q,M,1,-0.01002837,0.285817632
15_1033,Tchumash,GR8.06,Q,F,1,-0.036149415,0.184660359
15_1034,Tchumash,GR8.06,Q,M,1,0.007296494,0.211594673
15_1035,Tchumash,GR8.06,MM,F,1,-0.006129125,0.144067477
15_1036,Tchumash,GR8.06,MM,F,1,-0.035393511,0.098033963
15_1037,Tchumash,GR8.06,MM,M,1,0.022416322,0.328261873
15_1038,Tchumash,GR8.06,MM,M,1,0.014398888,0.317546888
15_1039,Tchumash,GR8.06,MM,F,1,-0.03092392,0.169161666
15_1040,Tchumash,GR8.06,MM,F,1,-0.044697228,0.139636331
15_1041,Tchumash,GR8.06,MM,F,1,-0.006501147,0.22922783
15_1042,Tchumash,GR8.06,MM,M,1,-0.005747031,0.291420525
15_1043,Tchumash,GR8.06,MM,F,0,0.191095983,0.189269787
15_1044,Tchumash,GR8.06,MM,F,1,-0.023378809,0.131971935
15_1045,Tchumash,GR8.06,MM,F,1,0.023668587,0.256336127
15_1046,Tchumash,GR8.06,MM,M,1,0.026920688,0.227652071
15_1047,Tchumash,GR8.06,MM,M,1,-0.008235972,0.319934076
15_1048,Tchumash,GR8.06,MM,M,1,-0.0232194,0.365423507
15_1049,Tchumash,GR8.06,MM,F,1,-0.040667591,0.217274706
15_1050,Tchumash,GR8.06,MM,F,1,-0.027898078,0.158825253
15_1051,Tchumash,GR8.06,MM,F,1,-0.031547315,0.140147661
15_1052,Tchumash,GR8.06,MM,M,1,0.017531715,0.38449486
15_1053,Tchumash,GR8.06,MM,M,1,0.020560685,0.351580072
