species,id,sex,population,host,RG,GB
chumash,595,F,HF5,MM,0.286577806555539,0.097511274427927
chumash,390,F,HF5,MM,0.229077020430302,0.063554222502136
chumash,619,F,HF5,MM,-0.0352902668652,0.354658488412334
chumash,537,F,HF5,MM,-0.036119932762124,0.334152879842273
chumash,759,M,HF5,MM,0.228490049720349,0.0722303731193
chumash,710,F,HF5,MM,0.259989705265566,0.133314679870075
chumash,672,F,HF5,MM,-0.040595469147136,0.333899331191139
chumash,477,F,HF5,MM,-0.085535042529667,0.306251233269057
chumash,475,M,HF5,MM,-0.054744994573035,0.325736816702736
chumash,653,F,HF5,MM,0.218496795259403,0.08780355653983
chumash,473,M,HF5,MM,-0.042838633912217,0.31899384066453
chumash,447,F,HF5,MM,-0.06005610468098,0.278722330348778
chumash,861,F,HF5,MM,-0.027322625160063,0.290081981769253
chumash,497,F,HF5,MM,-0.023000756172931,0.321666487176726
chumash,628,F,HF5,MM,-0.055237327907127,0.309148017561684
chumash,844,F,HF5,MM,-0.047867588282315,0.305996868332616
chumash,510,M,HF5,MM,0.241274810547752,0.093775733917972
chumash,618,F,HF5,MM,-0.081392219597524,0.283894604554072
chumash,750,F,HF5,MM,-0.072812022337576,0.306369843449096
chumash,798,F,HF5,MM,0.27396975811336,0.091499884230052
chumash,591,F,HF5,MM,-0.049835822966286,0.298181069550929
chumash,647,F,HF5,MM,-0.057545899073618,0.313935625390234
chumash,586,M,HF5,MM,-0.027635449529441,0.313383019906795
chumash,864,F,HF5,MM,-0.046207324060899,0.28599426455118
chumash,396,M,HF5,MM,-0.027686569009839,0.304194668045196
chumash,583,F,HF5,MM,0.218581439580148,0.086756440722719
chumash,530,F,HF5,MM,-0.110914757420489,0.298902505670886
chumash,633,F,HF5,MM,0.250114310016752,0.051107597150894
chumash,558,F,HF5,MM,0.160235947530659,0.062661548336254
chumash,577,M,HF5,MM,0.250291319812032,0.063109863109863
chumash,451,F,HF5,MM,-0.069933132364159,0.271078958122077
chumash,616,F,HF5,MM,-0.040494067876197,0.30775053209029
chumash,650,F,HF5,MM,-0.051885813304934,0.274850283026607
chumash,681,F,HF5,MM,-0.047537793259068,0.276754355297623
chumash,576,F,HF5,MM,-0.037597957729755,0.264475799960569
chumash,749,F,HF5,MM,0.192441792210107,0.165255690167521
chumash,579,M,HF5,MM,-0.027673492067417,0.269721400509681
chumash,692,F,HF5,MM,-0.050997308178163,0.293149054697105
chumash,413,F,HF5,MM,-0.048240056773289,0.271790206084944
chumash,726,F,HF5,MM,-0.052240919994696,0.287768590164418
chumash,397,F,HF5,MM,-0.052215025584704,0.287913150098896
chumash,469,F,HF5,MM,-0.057654219822021,0.261448079499575
chumash,842,F,HF5,MM,-0.050505383563943,0.243791812325874
chumash,774,M,HF5,MM,0.137689617704137,0.272198430879782
chumash,770,F,HF5,MM,0.205037920665446,0.106359686928938
chumash,436,M,HF5,MM,-0.028223081762472,0.283154655999942
chumash,697,M,HF5,MM,0.22056401773696,0.080621786951017
chumash,820,F,HF5,MM,-0.061951514214461,0.285750437661415
chumash,569,F,HF5,MM,-0.060516017756257,0.270392474783569
chumash,744,M,HF5,MM,0.03817456694683,0.273806926794278
chumash,486,M,HF5,MM,-0.006923215498247,0.307819820338696
chumash,846,M,HF5,MM,-0.042975393688744,0.281605328542056
chumash,551,F,HF5,MM,-0.077196956433493,0.231506640640222
chumash,794,F,HF5,MM,0.240667444108709,0.129183929584487
chumash,755,F,HF5,MM,0.135714947531473,0.294426367166999
chumash,416,F,HF5,MM,-0.042243532553888,0.26485548595655
chumash,761,F,HF5,MM,-0.047509428417495,0.235742763043855
chumash,501,F,HF5,MM,-0.048555045543592,0.267360649022715
chumash,875,F,HF5,MM,-0.069707186534073,0.252539692248543
chumash,488,M,HF5,MM,-0.013092993308345,0.256030676355187
chumash,877,M,HF5,MM,-0.057807628414894,0.285034399085009
chumash,637,M,HF5,MM,0.190773984150445,0.070140329768818
chumash,392,F,HF5,MM,0.194410155020431,0.13080783914482
chumash,827,F,HF5,MM,-0.051895089133636,0.260997331404255
chumash,554,M,HF5,MM,-0.032084213505589,0.279733867061479
chumash,555,F,HF5,MM,-0.076131555477808,0.218019884595802
chumash,602,M,HF5,MM,-0.007125265499798,0.274002178514182
chumash,420,M,HF5,MM,0.18967003805069,0.086085321830994
chumash,601,F,HF5,MM,-0.076289666747547,0.23045201323724
chumash,429,F,HF5,MM,-0.053050556812573,0.260448381792195
chumash,879,M,HF5,MM,-0.017818932156468,0.26681082780543
chumash,384,F,HF5,MM,-0.056097103758553,0.232666903700462
chumash,584,M,HF5,MM,-0.030779834002992,0.245819531362155
chumash,585,M,HF5,MM,-0.060686015831135,0.245391101034434
chumash,632,F,HF5,MM,0.145845115119945,0.055022707173587
chumash,859,M,HF5,MM,-0.031787029236254,0.244624568128071
chumash,649,M,HF5,MM,-0.020228968489789,0.259445406978458
chumash,509,M,HF5,MM,-0.010217825717346,0.251975399013498
chumash,674,F,HF5,MM,-0.052958885178635,0.220663092018088
chumash,706,M,HF5,MM,-0.016171320884016,0.272918311987089
chumash,611,M,HF5,MM,0.172573127106582,0.163942318083662
chumash,380,F,HF5,MM,-0.049894175402441,0.230181107223709
chumash,752,M,HF5,MM,-0.041919009481087,0.240142621222642
chumash,479,M,HF5,MM,0.173300426952962,0.071480267763284
chumash,852,M,HF5,MM,-0.01851490330886,0.267611535617451
chumash,873,M,HF5,MM,-0.023791872977234,0.251370600596082
chumash,562,M,HF5,MM,-0.027593421674279,0.248431363505136
chumash,623,M,HF5,MM,-0.02533519818982,0.242171490011763
chumash,395,F,HF5,MM,-0.024953699486899,0.218051270949469
chumash,857,M,HF5,MM,-0.039654735002075,0.246868547589986
chumash,450,F,HF5,MM,-0.048838544514211,0.194727739218078
chumash,490,M,HF5,MM,-0.030456977522775,0.257067703825272
chumash,500,M,HF5,MM,-0.046005996272587,0.169284448744008
chumash,582,F,HF5,MM,-0.009633432992975,0.195140476144107
chumash,371,M,HF5,MM,0.067881145456178,0.263338048641213
chumash,387,M,HF5,MM,-0.013720759098065,0.245884213901971
chumash,498,F,HF5,MM,-0.03834520472331,0.166829852339506
chumash,675,M,HF5,MM,0.189203610206434,0.079645819974127
chumash,596,M,HF5,MM,-0.009830623131373,0.258934740492867
chumash,823,M,HF5,MM,-0.027453026057034,0.236380561415648
chumash,604,M,HF5,MM,0.178697774313923,0.077065101689008
chumash,560,M,HF5,MM,0.193767558170749,0.145921153037865
chumash,454,M,HF5,MM,-0.001412019412112,0.238122316089852
chumash,707,F,HF5,MM,-0.050330106815051,0.1972100991149
chumash,404,F,HF5,MM,-0.050086616648891,0.178513483126632
chumash,528,M,HF5,MM,0.024650720904376,0.244498632092304
chumash,781,F,HF5,MM,0.171489851933256,0.141769109628754
chumash,644,M,HF5,MM,-0.038659089749247,0.232568785278784
chumash,557,M,HF5,MM,-0.007406737917166,0.219281053497102
chumash,552,F,HF5,MM,0.176930302255534,0.120856327874224
chumash,580,F,HF5,MM,-0.057275984706638,0.237338626147032
chumash,386,M,HF5,MM,-0.02483390420345,0.234802812512701
chumash,652,F,HF5,MM,-0.015059689315862,0.200159455619826
chumash,541,M,HF5,MM,-0.025521822311711,0.244970389494708
chumash,773,M,HF5,MM,0.157959857967398,0.082003457274039
chumash,499,M,HF5,MM,-0.044553165619663,0.252002943921223
chumash,608,M,HF5,MM,-0.018114725678718,0.233325444260366
chumash,779,M,HF5,MM,0.185843996303397,0.103363547961381
chumash,804,M,HF5,MM,-0.027155470628933,0.257793825454619
chumash,826,M,HF5,MM,-0.043572604971,0.255878507762769
