sample	sp_loc_host
15_0001	Tpoppensis_SM_P
15_0002	Tpoppensis_SM_RW
15_0003	Tpoppensis_SM_RW
15_0004	Tpoppensis_SM_RW
15_0005	Tpoppensis_SM_RW
15_0006	Tpoppensis_SM_RW
15_0007	Tpoppensis_SM_RW
15_0008	Tpoppensis_SM_RW
15_0009	Tpoppensis_SM_RW
15_0010	Tpoppensis_SM_RW
15_0011	Tpoppensis_SM_RW
15_0012	Tpoppensis_SM_RW
15_0013	Tpoppensis_SM_RW
15_0014	Tpoppensis_SM_RW
15_0015	Tpoppensis_SM_RW
15_0016	Tpoppensis_SM_RW
15_0017	Tpoppensis_SM_RW
15_0018	Tpoppensis_SM_RW
15_0019	Tpoppensis_SM_RW
15_0020	Tpoppensis_SM_RW
15_0021	Tpoppensis_SM_RW
15_0022	Tpoppensis_SM_RW
15_0023	Tpoppensis_SM_RW
15_0024	Tpoppensis_SM_RW
15_0025	Tpoppensis_SM_RW
15_0026	Tpoppensis_SM_RW
15_0027	Tpoppensis_SM_RW
15_0028	Tpoppensis_SM_RW
15_0029	Tpoppensis_SM_RW
15_0030	Tpoppensis_SM_RW
15_0031	Tpoppensis_SM_RW
15_0032	Tpoppensis_SM_RW
15_0033	Tpoppensis_SM_RW
15_0034	Tpoppensis_SM_RW
15_0035	Tpoppensis_SM_RW
15_0036	Tpoppensis_SM_RW
15_0037	Tpoppensis_SM_RW
15_0038	Tpoppensis_SM_RW
15_0039	Tpoppensis_SM_RW
15_0040	Tpoppensis_SM_RW
15_0041	Tpoppensis_SM_RW
15_0042	Tpoppensis_SM_RW
15_0043	Tpoppensis_SM_RW
15_0044	Tpoppensis_SM_RW
15_0045	Tpoppensis_SM_RW
15_0046	Tpoppensis_SM_RW
15_0047	Tpoppensis_SM_RW
15_0048	Tpoppensis_SM_RW
15_0049	Tpoppensis_SM_RW
15_0050	Tpoppensis_SM_RW
15_0051	Tpoppensis_SM_RW
15_0052	Tpoppensis_SM_RW
15_0053	Tpoppensis_SM_RW
15_0054	Tpoppensis_SM_RW
15_0055	Tpoppensis_SM_RW
15_0056	Tpoppensis_SM_RW
15_0057	Tpoppensis_SM_RW
15_0058	Tpoppensis_SM_RW
15_0059	Tpoppensis_SM_RW
15_0060	Tpoppensis_SM_RW
15_0062	Tpoppensis_SMHC_RW
15_0063	Tpoppensis_SMHC_RW
15_0064	Tpoppensis_SMHC_RW
15_0065	Tpoppensis_SMHC_RW
15_0066	Tpoppensis_SMHC_RW
15_0067	Tpoppensis_SMHC_RW
15_0068	Tpoppensis_SMHC_RW
15_0069	Tpoppensis_SMHC_RW
15_0070	Tpoppensis_SMHC_RW
15_0071	Tpoppensis_SMHC_RW
15_0072	Tpoppensis_SMHC_RW
15_0073	Tpoppensis_SMHC_RW
15_0074	Tpoppensis_SMHC_RW
15_0075	Tpoppensis_SMHC_RW
15_0076	Tpoppensis_SMHC_RW
15_0077	Tpoppensis_SMHC_RW
15_0078	Tpoppensis_SMHC_RW
15_0079	Tpoppensis_SMHC_RW
15_0080	Tpoppensis_SMHC_RW
15_0081	Tpoppensis_SMHC_RW
15_0082	Tpoppensis_SMHC_RW
15_0083	Tpoppensis_SMHC_RW
15_0084	Tpoppensis_SMHC_RW
15_0085	Tpoppensis_SMHC_RW
15_0086	Tpoppensis_SMHC_RW
15_0087	Tpoppensis_SMHC_RW
15_0088	Tpoppensis_SMHC_RW
15_0089	Tpoppensis_SMHC_RW
15_0090	Tpoppensis_SMHC_RW
15_0091	Tpoppensis_SMHC_RW
15_0092	Tpoppensis_SMHC_RW
15_0094	Tpoppensis_SMHC_RW
15_0095	Tpoppensis_SMHC_RW
15_0097	Tpoppensis_SMHC_RW
15_0098	Tpoppensis_SMHC_RW
15_0099	Tpoppensis_SMHC_RW
15_0100	Tpoppensis_SMHC_RW
15_0101	Tpoppensis_SMHC_RW
15_0102	Tpoppensis_SMHC_RW
15_0103	Tpoppensis_SMHC_RW
15_0104	Tpoppensis_SMHC_RW
15_0105	Tpoppensis_SMHC_RW
15_0106	Tpoppensis_SMHC_RW
15_0107	Tpoppensis_SMHC_RW
15_0108	Tpoppensis_SMHC_RW
15_0109	Tpoppensis_SMHC_RW
15_0110	Tpoppensis_SMHC_RW
15_0111	Tpoppensis_SMHC_RW
15_0112	Tpoppensis_SMHC_RW
15_0113	Tpoppensis_SMHC_RW
15_0114	Tpoppensis_SMHC_RW
15_0116	Tpoppensis_SMHC_RW
15_0118	Tpoppensis_SMHC_RW
15_0119	Tpoppensis_SMHC_RW
15_0120	Tpoppensis_SMHC_RW
15_0121	Tpoppensis_SMHC_RW
15_0122	Tpoppensis_SMHC_RW
15_0123	Tpoppensis_SMHC_RW
15_0124	Tpoppensis_SMHC_RW
15_0125	Tpoppensis_SMHC_RW
15_0126	Tpoppensis_SMHC_RW
15_0127	Tpoppensis_SMHC_RW
15_0128	Tpoppensis_SMHC_RW
15_0130	Tpoppensis_SMHC_RW
15_0131	Tpoppensis_SMHC_RW
15_0132	Tpoppensis_SMHC_RW
15_0133	Tpoppensis_SMHC_RW
15_0134	Tpoppensis_SMHC_RW
15_0135	Tpoppensis_SMHC_RW
15_0136	Tpoppensis_SMHC_RW
15_0137	Tpoppensis_SMHC_RW
15_0138	Tpoppensis_SMHC_RW
15_0139	Tpoppensis_SMHC_RW
15_0141	Tpoppensis_SMHC_RW
15_0142	Tpoppensis_SMHC_RW
15_0143	Tpoppensis_SMHC_RW
15_0144	Tpoppensis_SMHC_RW
15_0145	Tpoppensis_SMHC_RW
15_0146	Tpoppensis_SMHC_RW
15_0147	Tcalifornicum_SM_P
15_0148	Tcalifornicum_SM_M
15_0149	Tcalifornicum_SM_M
15_0150	Tcalifornicum_SM_M
15_0151	Tcalifornicum_SM_Q
15_0152	Tcalifornicum_SM_Q
15_0153	Tcalifornicum_SM_Q
15_0154	Tcalifornicum_SM_Q
15_0155	Tcalifornicum_SM_Q
15_0156	Tcalifornicum_SM_Q
15_0157	Tcalifornicum_SM_Q
15_0158	Tcalifornicum_SM_Q
15_0159	Tcalifornicum_SM_Q
15_0160	Tcalifornicum_SM_Q
15_0161	Tcalifornicum_SM_Q
15_0162	Tcalifornicum_SM_Q
15_0163	Tcalifornicum_SM_Q
15_0164	Tcalifornicum_SM_Q
15_0166	Tpoppensis_SM_RW
15_0167	Tpoppensis_SM_RW
15_0168	Tpoppensis_SM_RW
15_0169	Tpoppensis_SM_RW
15_0170	Tpoppensis_SM_RW
15_0173	Tpoppensis_SM_RW
15_0174	Tpoppensis_SM_RW
15_0176	Tpoppensis_SM_RW
15_0177	Tpoppensis_SMHC_RW
15_0436	Tboharti_SRHWY_C
15_0437	Tboharti_SRHWY_C
15_0447	Tchumash_BS_C
15_0448	Tchumash_BS_C
15_0449	Tchumash_BS_C
15_0450	Tchumash_BS_C
15_0451	Tchumash_BS_C
15_0452	Tchumash_BS_C
15_0453	Tchumash_BS_C
15_0893	Tcuri_CRH_CY
15_0894	Tcuri_CRH_CY
15_0895	Tcuri_CRH_CY
15_0896	Tcuri_CRH_CY
15_0897	Tcuri_CRH_CY
15_0898	Tcuri_CRH_CY
15_0899	Tcuri_CRH_CY
15_0900	Tcuri_CRH_CY
15_0901	Tcuri_CRH_CY
15_0902	Tcuri_CRH_CY
15_0903	Tcuri_CRH_CY
15_0904	Tcuri_CRH_CY
15_0905	Tcuri_CRH_CY
15_0906	Tcuri_CRH_CY
15_0907	Tcuri_CRH_CY
15_0908	Tcuri_CRH_CY
15_0909	Tcuri_CRH_CY
15_0910	Tcuri_CRH_CY
15_0911	Tcuri_CRH_CY
15_0912	Tcuri_CRH_CY
15_0913	Tcuri_CRH_CY
15_0914	Tcuri_CRH_CY
15_0915	Tcuri_CRH_CY
15_0916	Tcuri_CRH_CY
15_0917	Tcuri_CRH_CY
15_0918	Tcuri_CRH_CY
15_0919	Tcuri_CRH_CY
15_0920	Tcuri_CRH_CY
15_0921	Tcuri_CRH_CY
15_0922	Tcuri_CRH_CY
15_0923	Tcuri_CRH_CY
15_0924	Tcuri_CRH_CY
15_0925	Tcuri_CRH_CY
15_0926	Tcuri_CRH_CY
15_0927	Tcuri_CRH_CY
15_0928	Tcuri_CRH_CY
15_0929	Tcuri_CRH_CY
15_0930	Tcuri_CRH_CY
15_0931	Tcuri_CRH_CY
15_0932	Tcuri_CRH_CY
15_0933	Tcuri_CRH_CY
15_0934	Tcuri_CRH_CY
15_0935	Tcuri_CRH_CY
15_0936	Tcuri_CRH_CY
15_0937	Tcuri_CRH_CY
15_0938	Tcuri_CRH_CY
15_0939	Tcuri_CRH_CY
15_0940	Tcuri_CRH_CY
15_0941	Tcuri_CRH_CY
15_0942	Tcuri_CRH_CY
15_0943	Tcuri_CRH_CY
15_0944	Tcuri_CRL_C
15_0945	Tcuri_CRL_C
15_0946	Tcuri_CRL_C
15_0947	Tcuri_CRL_C
15_0948	Tcuri_CRL_C
15_0949	Tcuri_CRL_C
15_0950	Tcuri_CRL_C
15_0951	Tcuri_CRL_C
15_0952	Tcuri_CRL_C
15_0953	Tcuri_CRL_C
15_0954	Tcuri_CRL_C
15_0955	Tcuri_CRL_C
15_0956	Tcuri_CRL_C
15_0957	Tcuri_CRL_C
15_0958	Tcuri_CRL_C
15_0959	Tcuri_CRL_C
15_0960	Tcuri_CRL_C
15_0961	Tcuri_CRL_A
15_0962	Tcuri_CRL_A
15_0963	Tcuri_CRL_A
15_0964	Tcuri_CRL_A
15_0965	Tcuri_CRL_A
15_0966	Tcuri_CRL_A
15_0967	Tcuri_CRL_M
15_0968	Tcuri_CRL_M
15_0969	Tcuri_CRL_M
15_0970	Tcuri_CRL_M
15_0971	Tcuri_CRL_M
15_0972	Tcuri_CRL_M
15_0973	Tcuri_CRL_C
15_0974	Tcuri_CRL_C
15_0975	Tcuri_CRL_C
15_0976	Tcuri_CRL_C
15_0977	Tcuri_CRL_C
15_0978	Tcuri_CRL_C
15_0979	Tcuri_CRL_C
15_0980	Tcuri_CRL_C
15_0981	Tcuri_CRL_C
15_0982	Tcuri_CRL_MM
15_0984	Tcuri_CRL_MM
15_0985	Tcuri_CRL_MM
15_0986	Tcuri_CRL_MM
15_0987	Tcuri_CRL_MM
15_0988	Tcuri_CRL_MM
15_0989	Tcuri_CRL_MM
15_0990	Tcuri_CRL_MM
15_0991	Tcuri_CRL_MM
15_0992	Tcuri_CRL_MM
15_0993	Tcuri_CRL_MM
15_0994	Tcuri_CRL_MM
15_0995	Tcuri_CRH_M
15_0996	Tcuri_CRH_C
15_0997	Tcuri_CRH_C
15_0998	Tcuri_CRH_C
15_0999	Tchumash_HF6_Q
15_1000	Tchumash_HF6_Q
15_1001	Tchumash_HF6_Q
15_1002	Tchumash_HF6_Q
15_1003	Tchumash_GR8.06_Q
15_1004	Tchumash_GR8.06_Q
15_1005	Tchumash_GR8.06_Q
15_1006	Tchumash_GR8.06_Q
15_1007	Tchumash_GR8.06_Q
15_1008	Tchumash_GR8.06_Q
15_1009	Tchumash_GR8.06_Q
15_1010	Tchumash_GR8.06_Q
15_1011	Tchumash_GR8.06_Q
15_1012	Tchumash_GR8.06_Q
15_1013	Tchumash_GR8.06_Q
15_1014	Tchumash_GR8.06_Q
15_1015	Tchumash_GR8.06_Q
15_1016	Tchumash_GR8.06_Q
15_1017	Tchumash_GR8.06_Q
15_1018	Tchumash_GR8.06_Q
15_1019	Tchumash_GR8.06_Q
15_1020	Tchumash_GR8.06_Q
15_1021	Tchumash_GR8.06_Q
15_1022	Tchumash_GR8.06_Q
15_1023	Tchumash_GR8.06_Q
15_1024	Tchumash_GR8.06_Q
15_1025	Tchumash_GR8.06_Q
15_1026	Tchumash_GR8.06_Q
15_1027	Tchumash_GR8.06_Q
15_1028	Tchumash_GR8.06_Q
15_1029	Tchumash_GR8.06_Q
15_1030	Tchumash_GR8.06_Q
15_1031	Tchumash_GR8.06_Q
15_1032	Tchumash_GR8.06_Q
15_1033	Tchumash_GR8.06_Q
15_1034	Tchumash_GR8.06_Q
15_1035	Tchumash_GR8.06_MM
15_1036	Tchumash_GR8.06_MM
15_1037	Tchumash_GR8.06_MM
15_1038	Tchumash_GR8.06_MM
15_1039	Tchumash_GR8.06_MM
15_1040	Tchumash_GR8.06_MM
15_1041	Tchumash_GR8.06_MM
15_1042	Tchumash_GR8.06_MM
15_1043	Tchumash_GR8.06_MM
15_1044	Tchumash_GR8.06_MM
15_1045	Tchumash_GR8.06_MM
15_1046	Tchumash_GR8.06_MM
15_1047	Tchumash_GR8.06_MM
15_1048	Tchumash_GR8.06_MM
15_1049	Tchumash_GR8.06_MM
15_1050	Tchumash_GR8.06_MM
15_1051	Tchumash_GR8.06_MM
15_1052	Tchumash_GR8.06_MM
15_1053	Tchumash_GR8.06_MM
15_1054	Tchumash_GR8.06_MM
15_1055	Tchumash_GR8.06_MM
15_1056	Tchumash_GR8.06_MM
15_1057	Tchumash_GR8.06_MM
15_1058	Tchumash_GR8.06_MM
15_1059	Tchumash_GR8.06_MM
15_1060	Tchumash_GR8.06_MM
15_1061	Tchumash_GR8.06_MM
15_1062	Tchumash_GR8.06_MM
15_1063	Tchumash_GR8.06_MM
15_1064	Tchumash_GR8.06_MM
15_1065	Tchumash_GR8.06_MM
15_1066	Tchumash_GR8.06_MM
15_1215	Tpoppensis_SMHC_RW
15_1216	Tpoppensis_SMHC_RW
15_1217	Tpoppensis_SMHC_RW
15_1218	Tpoppensis_SMHC_RW
15_1219	Tpoppensis_SMHC_RW
